epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7408,1.15245,2.97506,1.29606,0.73228,0.66913,0.7547,0.50778,1.19046,1.20989,1.09897,0.00332755,0.00332755,0.00332755
2,98.0005,1.10182,1.42939,1.23599,0.79523,0.73015,0.78883,0.5778,1.01545,1.00865,1.06389,0.00657296,0.00657296,0.00657296
3,140.835,1.18257,1.44168,1.32024,0.72258,0.69261,0.72387,0.47152,1.27953,1.70093,1.25707,0.00973037,0.00973037,0.00973037
4,195.478,1.24291,1.48535,1.34888,0.7743,0.77428,0.81512,0.56329,1.13265,1.11421,1.19067,0.009604,0.009604,0.009604
5,227.778,1.1961,1.34674,1.33591,0.76037,0.79069,0.80966,0.59661,0.9911,0.95471,1.10273,0.009472,0.009472,0.009472
6,272.957,1.14759,1.21135,1.3122,0.84342,0.81069,0.85819,0.65586,0.86634,0.79568,1.06011,0.00934,0.00934,0.00934
7,313.507,1.09218,1.1226,1.27535,0.82176,0.8663,0.89254,0.70646,0.81726,0.72725,1.02375,0.009208,0.009208,0.009208
8,387.49,1.07103,1.04011,1.25164,0.80213,0.87998,0.89608,0.69408,0.82705,0.70198,1.0175,0.009076,0.009076,0.009076
9,428.47,1.01943,0.97343,1.22968,0.86237,0.88108,0.91353,0.72831,0.75918,0.63233,0.98115,0.008944,0.008944,0.008944
10,479.722,0.99828,0.95852,1.22366,0.83782,0.89376,0.90812,0.70236,0.81254,0.64405,1.00622,0.008812,0.008812,0.008812
11,539.799,0.99638,0.92489,1.20678,0.89771,0.8886,0.92508,0.73817,0.72802,0.59822,0.96513,0.00868,0.00868,0.00868
12,615.033,0.96553,0.91002,1.19401,0.88338,0.90613,0.91721,0.7569,0.66533,0.56231,0.95436,0.008548,0.008548,0.008548
13,646.279,0.92763,0.84068,1.18482,0.88376,0.90393,0.92308,0.74651,0.71363,0.54995,0.96147,0.008416,0.008416,0.008416
14,680.022,0.91674,0.81671,1.15295,0.91479,0.89881,0.9451,0.76485,0.70637,0.54206,0.96491,0.008284,0.008284,0.008284
15,714.348,0.92221,0.811,1.16297,0.87296,0.89986,0.93414,0.77055,0.67323,0.53454,0.94432,0.008152,0.008152,0.008152
16,799.626,0.88886,0.77753,1.14997,0.89571,0.91443,0.93629,0.78453,0.6488,0.51973,0.94078,0.00802,0.00802,0.00802
17,872.998,0.90115,0.78433,1.15958,0.89167,0.9045,0.93125,0.77793,0.63082,0.49536,0.93938,0.007888,0.007888,0.007888
18,949.707,0.89942,0.77129,1.14926,0.91877,0.89541,0.93847,0.78789,0.6183,0.49134,0.93485,0.007756,0.007756,0.007756
19,984.17,0.89017,0.76818,1.145,0.90939,0.91619,0.94523,0.78768,0.6381,0.48907,0.92968,0.007624,0.007624,0.007624
20,1025.28,0.8684,0.74244,1.12286,0.89738,0.91365,0.94111,0.79479,0.60587,0.4956,0.91853,0.007492,0.007492,0.007492
21,1071.97,0.85204,0.72285,1.12929,0.92198,0.90218,0.93977,0.78577,0.64158,0.47389,0.92974,0.00736,0.00736,0.00736
22,1112.33,0.82841,0.69202,1.10544,0.91328,0.91981,0.94836,0.80642,0.58859,0.44955,0.91476,0.007228,0.007228,0.007228
23,1164.91,0.83393,0.69166,1.11303,0.9242,0.91195,0.95346,0.78676,0.66256,0.45542,0.92187,0.007096,0.007096,0.007096
24,1221.99,0.82069,0.67859,1.10244,0.93448,0.93034,0.95494,0.81498,0.58593,0.42174,0.90702,0.006964,0.006964,0.006964
25,1256.35,0.82877,0.68211,1.10496,0.9231,0.92178,0.95005,0.80893,0.58981,0.43506,0.89742,0.006832,0.006832,0.006832
26,1296.02,0.81992,0.6575,1.09696,0.91607,0.93097,0.95211,0.81776,0.57114,0.42687,0.90514,0.0067,0.0067,0.0067
27,1377.05,0.81632,0.66311,1.09451,0.93905,0.91249,0.95746,0.81527,0.59542,0.40709,0.90406,0.006568,0.006568,0.006568
28,1451.9,0.79961,0.64989,1.09408,0.91076,0.92671,0.9514,0.81363,0.57854,0.42327,0.90201,0.006436,0.006436,0.006436
29,1504.39,0.79624,0.64106,1.08552,0.91616,0.92795,0.95366,0.80448,0.59348,0.43048,0.89958,0.006304,0.006304,0.006304
30,1547.57,0.77076,0.62007,1.07041,0.91474,0.92834,0.95035,0.81778,0.55721,0.40736,0.89072,0.006172,0.006172,0.006172
31,1587.76,0.77707,0.61272,1.06986,0.91749,0.92557,0.94919,0.8079,0.58283,0.41449,0.89306,0.00604,0.00604,0.00604
32,1645.99,0.77339,0.61227,1.06532,0.92097,0.92988,0.95037,0.81778,0.54626,0.4081,0.88349,0.005908,0.005908,0.005908
33,1687.3,0.74735,0.59842,1.06714,0.91759,0.93721,0.95354,0.8245,0.55686,0.39693,0.88993,0.005776,0.005776,0.005776
34,1737.35,0.7542,0.59666,1.06863,0.91639,0.93127,0.95204,0.81459,0.57841,0.40066,0.89109,0.005644,0.005644,0.005644
35,1776.51,0.75212,0.59245,1.06284,0.9288,0.94423,0.9557,0.83536,0.53043,0.38459,0.87901,0.005512,0.005512,0.005512
36,1834.88,0.74456,0.57369,1.05236,0.93212,0.92408,0.95269,0.834,0.525,0.38991,0.879,0.00538,0.00538,0.00538
37,1865.58,0.73393,0.57645,1.04928,0.92452,0.93965,0.95503,0.83076,0.54832,0.37896,0.88632,0.005248,0.005248,0.005248
38,1930.03,0.73491,0.57534,1.05743,0.93392,0.92974,0.95458,0.83479,0.53046,0.36878,0.87772,0.005116,0.005116,0.005116
39,1963.82,0.72902,0.56404,1.05237,0.93603,0.93532,0.95598,0.83139,0.5303,0.36909,0.87979,0.004984,0.004984,0.004984
40,2000.45,0.73539,0.5613,1.05255,0.93385,0.94174,0.96164,0.82586,0.56859,0.37628,0.88209,0.004852,0.004852,0.004852
41,2065.11,0.72082,0.54247,1.03583,0.93168,0.93032,0.95791,0.83819,0.52325,0.36744,0.8736,0.00472,0.00472,0.00472
42,2139.14,0.72203,0.55436,1.04367,0.93489,0.9383,0.95885,0.84401,0.51934,0.36152,0.87487,0.004588,0.004588,0.004588
43,2211.99,0.69021,0.5428,1.03179,0.92648,0.94412,0.96078,0.84503,0.53048,0.35626,0.86694,0.004456,0.004456,0.004456
44,2275.7,0.71183,0.54075,1.03804,0.93975,0.93574,0.96083,0.84351,0.51837,0.3463,0.8647,0.004324,0.004324,0.004324
45,2326.75,0.685,0.52552,1.01702,0.94195,0.93404,0.958,0.83949,0.5234,0.35467,0.87022,0.004192,0.004192,0.004192
46,2366.61,0.68299,0.51363,1.01811,0.93679,0.93275,0.95948,0.85103,0.50214,0.34614,0.86148,0.00406,0.00406,0.00406
47,2412.95,0.6891,0.51391,1.02277,0.92158,0.9466,0.96041,0.84889,0.50047,0.33711,0.86171,0.003928,0.003928,0.003928
48,2459.78,0.67288,0.49295,1.01825,0.93228,0.94801,0.96068,0.84939,0.50228,0.33999,0.86504,0.003796,0.003796,0.003796
49,2505.75,0.66422,0.49408,1.01286,0.93245,0.94069,0.96019,0.85013,0.48974,0.33595,0.86199,0.003664,0.003664,0.003664
50,2536.78,0.66377,0.48895,0.99864,0.92966,0.94238,0.96009,0.85322,0.49559,0.34475,0.85942,0.003532,0.003532,0.003532
51,2579.59,0.66121,0.48955,1.01568,0.92422,0.94999,0.95965,0.85083,0.50239,0.34079,0.86243,0.0034,0.0034,0.0034
52,2622.14,0.65655,0.491,1.00781,0.93234,0.9461,0.96562,0.85928,0.48866,0.32886,0.8596,0.003268,0.003268,0.003268
